case_id,source_file,sha256,status,strict_snapshot_closed,provider_families
ca2-36bcb163bd23551701cc,ca2-36bcb163bd23551701cc.json,0e1c6c60e42a7be195779de7c95fbc53f8cfa0db3a14106cecd29189e7cfeeeb,VERIFIED,True,alchemy|infura
ca2-36def0144d519bbc5d86,ca2-36def0144d519bbc5d86.json,09bed74694c28525129fe3120c109926ded036e13e1f09a04ef37a060f1d5931,VERIFIED,True,alchemy|infura
ca2-37b12c1f2e2b7af31377,ca2-37b12c1f2e2b7af31377.json,ffbd9d5bea051ca98c2d7aa3638f87d505d527ee78aaa1ae53fa30b5a960d0cb,VERIFIED,True,alchemy|infura
ca2-382283494db3462edcb4,ca2-382283494db3462edcb4.json,6ba32c261b20e9ab8e99a3b387100d949499157e879e9767f164c84e75873373,VERIFIED,True,alchemy|infura
ca2-3843aa138b13af762925,ca2-3843aa138b13af762925.json,717b2119454754814dcb050fd0ef5bead76e9786530a3f893db8995984bca39b,VERIFIED,True,alchemy|infura
ca2-38de662649bc5f386b3b,ca2-38de662649bc5f386b3b.json,a7fb2d3c8f25f8e928f42ea57d286d1f1cd3a981b5566aadf04ebfee359fcf43,VERIFIED,True,alchemy|infura
ca2-3a72b153af20c2c77bb7,ca2-3a72b153af20c2c77bb7.json,f821c01f47caf24de6c02c2d61416d742f4349dbf729fe612ee982e510a50a3d,VERIFIED,True,alchemy|infura
ca2-3ae6d0e93f222f7571b2,ca2-3ae6d0e93f222f7571b2.json,7f5097517bf328d0c94328d7a98ee048c89a13fe31dcfa18e04c405327825648,VERIFIED,True,alchemy|infura
ca2-3b0aac1754ae5d74f870,ca2-3b0aac1754ae5d74f870.json,f46127b0b8428b1d9441ea7a5ee302e42016ac57709f92e77dae6da5b6bb286d,VERIFIED,True,alchemy|infura
ca2-3b5e98c9b74a83f683a0,ca2-3b5e98c9b74a83f683a0.json,2bd2f78deb04752249aec80f191faf6e80c56a6929d936ea3b1bc444c5e2e3ee,VERIFIED,True,alchemy|infura
ca2-3c88785c0f3b4867d7f4,ca2-3c88785c0f3b4867d7f4.json,19fa2578aacaa077a36388126a86213b0f9542e6dbf5325e3d23db43ecab24f0,VERIFIED,True,alchemy|infura
ca2-3ce3786a7c84825faed0,ca2-3ce3786a7c84825faed0.json,78470760970b622733f2d2a00415c2eca7aff3d85e9e3fc63fd9351acbd76df2,VERIFIED,True,alchemy|infura
ca2-3ceb352e665fb61f7402,ca2-3ceb352e665fb61f7402.json,f0d39f6ee168a5c1877f925854cc000654f14e7e5284ac81bb05f7267ff68f03,VERIFIED,True,alchemy|infura
ca2-3d7964746397bc97e185,ca2-3d7964746397bc97e185.json,a8427802ac866fefccfe60610270e5b377dc706e5b6c0a295c69e4bf6fc79aa2,VERIFIED,True,alchemy|infura
ca2-3d8e91015c9360a5a76f,ca2-3d8e91015c9360a5a76f.json,e0daa6883d19a0ea6aef7532fe1792142bff86c018827a2871e90d18371a940a,VERIFIED,True,alchemy|infura
ca2-3ea99bf48860cd3d90e9,ca2-3ea99bf48860cd3d90e9.json,e4c2562582267e7130fbfb5e14f2b234b0ba1b3b205c60c2669256a14ffd3364,VERIFIED,True,alchemy|infura
