abstraction,identity_key,n_cases,n_chains,n_addresses,cross_chain,cross_address,chains,addresses,case_ids
chain_address,bsc:0x566777ed780dbbe17c130ae97b9fbc0a3ab829df,1,1,1,False,False,bsc,0x566777ed780dbbe17c130ae97b9fbc0a3ab829df,ca2-94a8114b86699da44092
chain_address,bsc:0x57db19127617b77c8abd9420b5a35502b59870d6,1,1,1,False,False,bsc,0x57db19127617b77c8abd9420b5a35502b59870d6,ca2-429b8f8a4d1baf287471
chain_address,bsc:0x5813d7818c9d8f29a9a96b00031ef576e892def4,1,1,1,False,False,bsc,0x5813d7818c9d8f29a9a96b00031ef576e892def4,ca2-6bc7737cc67404ed8f62
chain_address,bsc:0x595eac4a0ce9b7175a99094680fbe55a774b5464,1,1,1,False,False,bsc,0x595eac4a0ce9b7175a99094680fbe55a774b5464,ca2-5aa3d29494fdde461d33
chain_address,bsc:0x5abde8b434133c98c36f4b21476791d95d888bf5,1,1,1,False,False,bsc,0x5abde8b434133c98c36f4b21476791d95d888bf5,ca2-10135a96af2e104eb4a4
chain_address,bsc:0x5c9f1a9ced41ccc5dcecda5afc317b72f1e49636,1,1,1,False,False,bsc,0x5c9f1a9ced41ccc5dcecda5afc317b72f1e49636,ca2-e5a8dccafb3c4f63fdb2
chain_address,bsc:0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,1,1,1,False,False,bsc,0x5dfc7f3ebbb9cbfe89bc3fb70f750ee229a59f8c,ca2-7063be755a02e6e0df10
chain_address,bsc:0x5e5e28029ef37fc97ffb763c4ac1f532bbd4c7a2,1,1,1,False,False,bsc,0x5e5e28029ef37fc97ffb763c4ac1f532bbd4c7a2,ca2-9b3232b290b3e5a209ad
chain_address,bsc:0x5fbbb391d54f4fb1d1cf18310c93d400bc80042e,1,1,1,False,False,bsc,0x5fbbb391d54f4fb1d1cf18310c93d400bc80042e,ca2-3626b19eb243950f0171
chain_address,bsc:0x62951cad7659393bf07fbe790cf898a3b6d317cb,1,1,1,False,False,bsc,0x62951cad7659393bf07fbe790cf898a3b6d317cb,ca2-f4a91ff1efea083dedab
chain_address,bsc:0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,1,1,1,False,False,bsc,0x633e538ecf0bee1a18c2edfe10c4da0d6e71e77b,ca2-7c6082cada48d720f171
chain_address,bsc:0x633fa755a83b015cccdc451f82c57ea0bd32b4b4,1,1,1,False,False,bsc,0x633fa755a83b015cccdc451f82c57ea0bd32b4b4,ca2-ac986ab36ff83135b05f
chain_address,bsc:0x64f291de10ecd36d5f7b64aaebc70943cface28e,1,1,1,False,False,bsc,0x64f291de10ecd36d5f7b64aaebc70943cface28e,ca2-e017525389c5fba3ce28
chain_address,bsc:0x664201579057f50d23820d20558f4b61bd80bdda,1,1,1,False,False,bsc,0x664201579057f50d23820d20558f4b61bd80bdda,ca2-fe0426b19503c34e1f18
chain_address,bsc:0x6666625ab26131b490e7015333f97306f05bf816,1,1,1,False,False,bsc,0x6666625ab26131b490e7015333f97306f05bf816,ca2-8b0370be76c7c7e05d59
chain_address,bsc:0x6844ef18012a383c14e9a76a93602616ee9d6132,1,1,1,False,False,bsc,0x6844ef18012a383c14e9a76a93602616ee9d6132,ca2-c5f49d371d24304e62b2
chain_address,bsc:0x6b869795937dd2b6f4e03d5a0ffd07a8ad8c095b,1,1,1,False,False,bsc,0x6b869795937dd2b6f4e03d5a0ffd07a8ad8c095b,ca2-62fc7b9b9ac57e1b7351
chain_address,bsc:0x6bbef6df8db12667ae88519090984e4f871e5feb,1,1,1,False,False,bsc,0x6bbef6df8db12667ae88519090984e4f871e5feb,ca2-969e97a830e1fdab4f58
chain_address,bsc:0x6bc9b4976ba6f8c9574326375204ee469993d038,1,1,1,False,False,bsc,0x6bc9b4976ba6f8c9574326375204ee469993d038,ca2-d3a51f08e6355a17ca20
chain_address,bsc:0x6beee2b57b064eac5f432fc19009e3e78734eabc,1,1,1,False,False,bsc,0x6beee2b57b064eac5f432fc19009e3e78734eabc,ca2-9c986971a7cb2a1d5317
